,text,label
150,  بالنسبة لي خدمة في غيابك يا غالي ,voice_offers
151,  داير اعرف اشتراككم الشهري لشريحة بيانات ,data_offer
152,  رموز عروض الإنترنت ,data_offer
153,  اتأخرت في دفع الفاتورة و النت قطع   و هسي دفعتها و النت م رجع لسه ,complaint
154,  النت قاطع عندي ,complaint
155,  دفعت الفاتوره و الشريحه م اتنشطت ,complaint
156,  صباح الخير... لو سمحت عندي رقم اريبا اتقفل بسبب إدخال ال pin code كذا مره غلط هل ممكن تعالجوا لي المشكلة دي,complaint
157,  عندي استفسار في عروض النت 4g ,data_offer
158,  عروض النت لل4G في اشتراك ليوم واحد؟ ,data_offer
159,  عندي اشكاليه كبيره جدا ف الشبكه سواء نت او مكالمات م قادر اتواصل ابدا ب مكالمات او نت والمشكله دي تمت للان 24 ساعه,complaint
160,  خدمة نت اسبوع ان يكون شبكة قوية جدا سعر الخدمة كم عندكم ,data_offer
161,  رقمي اتحجب ,complaint
162,  سعات الإنترنت و المكالمات الهاتفية ,voice_offers
163,  عندي شريحة اريبا ما شغال بيها طولت شديد لكن بحول فيها رصيد وتصل فيها لكن هي مقفولة كده بسحبوها مني ,complaint
164,  كيف يتم تغيير الرمز السري الشريحة  ,complaint
165,  لماذا الشريحة لا تحول  عندما داير احول تكتب الرجاء الاتصال بخدمات المشتركين111 ,complaint
166,  رقمي اتحجب ,complaint
167,  عِنـ.̷̷̸̷̐ـديّ شريحه داتا م شغاله و منشطه ,complaint
168,  النت م.شغاله   شغاله E بس ,complaint
169,  مستوى الخدمة سيئ جدا ,complaint
170,  خدمة خلي يوم علينا..دي حقيقة ولا كذبة ساكت؟,voice_offers
171,  كيف اعرف انو الرقم قد تم تسجيله ,my_sim
172,  نرجو مراجعة الرقم 0927751450 هل مسجل ام لا ,my_sim
173,  ماهي عروض الانترنت لشريحة داتا مع التعرفه شاملا الضريبة ,data_offer
174,  كيفية معرفة الرصيد المتبقي من الاشتراك ,data_offer
175,  ماهي عروض الإنترنت المقدمة لشرائح الدفع المقدم ؟ ,data_offer
176, مستوى الخدمة غير جيدة  ,complaint
177,  ثانيا كيف يتم تحويل شريحة البيانات إلى خدمة ال 4G ,my_sim
178,  لا يعمل معي خدمة ال 4G ما هو الحل ؟,complaint
179,  ماهي طريقة تغيير شريحة MTN لخدمة ال 4G  وماهي العروض المقدمة لل 4G شامل الضريبة ,data_offer
180,  ماهي طريقة تغيير شريحة MTN لخدمة ال 4G  وماهي العروض المقدمة لل 4G شامل الضريبة ,my_sim
181,  طريقة ضبط شبكة الإنترنت ,my_sim
182,  ماهي حزم خدمه المكالمات الشهرية داخل الشبكه مع بيان التكلفة لكل خدمه ,voice_offers
183,  عرض الانترنت الاسبوعي,data_offer
184,  كم هي حصة الانترنت في اليوم,data_offer
185,  كم هي الحصة اليومية للإنترنت الذهبي ,data_offer
186,  الساعة السريعة لاتعمل  ,complaint
187,  عندي كرت شحن ١٠ جنيه غير واضحين اخر٤ ارقام ,complaint
188, عايزة اعرف رمز ال puk لشريحتي اتقفلت وانا م عارفاهو وم عندي الاوراق علشان اعرفو من هناك ,complaint
189,  اسوأ عاملين بشركة اتصال علي الاطلاق ما بدو المشترك حقو عدم اهتمام في مساحة كبيييييرة شاسعة بين خدمات المشتركين والقسم الفني سؤ اداري واضح عدم دراية بالواجب مشرفين نيام معقولة ده مستوي خدمة انافس في سوق اتصالات فيه زين وسوداني وكنار بتميزو بافضل عمالة وانضباط في كل شئ .. بس امري لله وما عافي ليكم ,complaint
190,  كذب ونفاق وعدم اهتمام   وسؤ معاملة علي مستوى المشرفين ,complaint
191,  أسوأ شركة اتصال وخدمات مشتركين واعلام ممكن أمر عليك كذب ونفاق ورداءة تعامل وعدم احترام العملاء خصيمكم جميعا يوم القيامة,complaint
192,  كيفية معرفة الاستهلاك شريحة بيانات خط ,data_offer
193,  لم اتمكن من ادخال كرت الشحن ارجو الافادة ,complaint
194,  شريحة بيانات بالرقم 0999405985   الاسم عبدالوهاب الحسن محمد عمر.(((( تم سداد الفاتورة ولم يتم تفعيل الخدمة. ارجوا,my_sim
195,  عندي مشكلة في شريحتي ام تي ن   ومسجلاها معاكم   ما بتتصل نهائيا ,complaint
196,  طيب ممكن تشوفو لي فيها كم رصيد ,my_sim
197,  عندي مشكلة بشريحتي  هي شريحة بيانات بعد ما دخلتها وعملت ضبط الشريحة   وعايزة اتصل ب *143*2#  قال لي الشبكة غير متاحة ,complaint
198,  يعني سبب الشبكة غير متاحة شنو مع انو المكان الشبكة فيه واضحة ,complaint
199,  علامة الشبكة غير متاحة لماذا ,complaint
200,  كيف افعل خدمة الخدمة 5غيغا ,data_offer
201,  كم رقم هذه الشريحة ؟ ,my_sim
202,  ممكن معاكم يا ناس ام تي ان   انا امبارح نزلت رصيد في تلفوني   ليه سحبتوه مني  ما تخلوني ادعي عليكم,complaint
203,  ياخ حرام عليكم اتقو الله فينا  دي سرقة وتعدي علي حقوق 😠 ,complaint
204,  بالمناسبة عملتو عرض الخمسة قيقا بكم يا السمحين ,data_offer
205,  طيب كان عايزة افعل خمسة قيقا اشحن كم يا حرامية ,data_offer
206,  شريحتي بيانات داتا   طريقة تفعيل 1 غيغا شهريا ,data_offer
207,  خدمات الإنترنت لوسمحتو..وطريقة الاشتراك,data_offer
208, طريقة تحويل الرصيد شريحة MTN-sudan ,my_sim
209,  كيف معرفة رقم الشريحة ,my_sim
210,  وكيف اعرفها مسجلة وغير مسجله ,my_sim
211,  بسأل عن الشبكه   فيها ضعف شديد ,complaint
212,  شبكه الإنترنت سيئه جدا ,complaint
213,  اولا ايذ كل التفاصيل من انترنت والمكالمات  يعني خدمات ,data_offer
214,  اولا ايذ كل التفاصيل من انترنت والمكالمات  يعني خدمات ,voice_offers
215,  لو سمحته عايزه طريقه التنشيط ,data_offer
216,  عايزة عروض الأنترنت لشريحه داته ,data_offer
217,  طريقة التحويييل ,my_sim
218,  عايذه اعرف رموز خدمة المكالمات ,voice_offers
219,  وخدمة قرايب اكسترا بستفيد كيف منها,voice_offers
220,  ابحث عن وظيفه هل لديكم وظيفه شاغره,complaint
221,  لدي شريحة بيانات عايز اعرف التنشيط اليوم بي كم  وكم ميغابايت ,data_offer
222,  طيب العرض اليوم فيه كم ميغابايت ,data_offer
223, بدی انشط خدمه الیوم شریحه بیانات بس کل مره اقول عایز انشط الخدمه یقول رصیدک غیر کافی والخدمه بی اربع جنیه وسبعین قرش مع انی منزل کرت بی خمس جنیهات ,complaint
224,  سلام علییکم طریقه تحویل الرصید من جهاز الی اخر ,my_sim
225,  خدمة موبايل كاش ممكن اعرف اكتر عن هذه الخدمه ؟!  طريقة التسجيل ، تغذيه الحساب ,voice_offers
226,  دي شريحة ما عايز تجمع الشبكة ,complaint
227,  سلام خدمة نت شهر بي كم وطريقة التنشيط ,data_offer
228,  النت مشكلة شنو ي ناس منشط و ما قادر استفيد من الخدمة النت ردئ اليوم و دي اول مرة يكون كدا لانو الشبكة في منطقة قوية بس شبكتكم بتمشي و تجي المشكلة ووين ,complaint
229,  بسأل من الشبكة ليي اليوم ردئة كدا ,complaint
230,  الخدمة بتعت موبايلك غير  متوفر ما شغالة معاي ,complaint
231,  كيف يتم تغيير الرقم السري بتع تحويل الرصيد ,my_sim
232,  لوسمحتو عندي مشكلة في شريحة بيانات ,complaint
233,  عندنا مشكلة في الشبكة   طاشة ليها قريب اسبوعين,complaint
234,  كان عندنا مشكلة في الشبكة في منطقتنا من شهر ٩  ورفعنا كمية من الشكاوي,complaint
235,  النت بقي ضعيف شديد شوفي لينا حل لو سمحتو,complaint
236,  استغسر عن قرايب اكسترا ,voice_offers
237,  كيف اشتري كهرباء بالرصيد ,voice_offers
238,  باقات 4g,data_offer
239,  عروض الإنترنت 4G ,data_offer
240,  عايز باقات الإنترنت اليومي,data_offer
241,  ضبط نقطة إتصال ممتازه,my_sim
242,  عندي شريحه قفلت وانا مغترب لي سنه وحاجه كده ,complaint
243,  خدمات الانترنت عندكم كيف ,data_offer
244,  يلا نا قصدي الداتا الشهر ,data_offer
245,  تنشيط الاسبوع كيف ,data_offer
246,  والله انا طالب امتحنت الشهاده السودانيه وعاوز لي شغله اساعد بيها ناس ابوي انا ولد واحد ولدي ثلاثه اخوات رجآ اطلب منكم اي شغلانه تعدي بيها ,complaint
247,  عايز اعرف مواقع ام تي ان في الجزيره ,service_centers
248,  طيب الشريحه بدل فاقد كيف تطلع ,my_sim
249,  عندي شريحه عايز اطلعه بدل فاقد ممكن ادي زول رقمي الوطني يطلعه لي,complaint
250,  أملك شريحة عادية هل ممكن احولها إلى شريحة بيانات؟,my_sim
251,  كيف اعرف الباقي لي من خدمة الشهر لشريحة داتا؟؟ ,data_offer
252,  اريد معرفة طريقة تحويل الرصيد ,voice_offers
253,  الانترنت عندي ضعيف جدا  عايزة اعرف وين المشكلة؟ ,complaint
254, MTN يومين والانترنت تعبان معاي شديد ماممكن ياخ ابدا منشط شهر بلاتيني والانترنت زي الزفت والزفت احسن ليه الحاصل شنو ,complaint
255,  السلام عليكم طريقه تغيير الرقم السري حق التحويل ال00000 ,my_sim
256,  هل يوجد عمليات صيانه حاليا في الشبكه الانترنت ضعيف جدا هذي الايام ,complaint
257,  ياخ الانترنت زي الزفت ماممكن نخسر قروش عشان خدمات رديئة كدا ,complaint
258,  غير قادر على تفعيل خدمه الواحد قيقا ,data_offer
259,  انا عايز خدمة انترنت لي مدة شهر ممكن اعرف الباقات والاسعار ,data_offer
260,  هل العرض غير محدود ولو محدود كم عدد القيقابايت لكل باقة,data_offer
261,  بس الشبكة تعبانة شديد ,complaint
262,  ممكن طريقة تفعيل النت لمدة شهر ,data_offer
263,  ممكن طريقة تفعيل الساعة السريعة ,data_offer
264,  عايز طريقة ضبط التهيئة ,my_sim
265,  بحب استفسر عن طريقة عمل الساعة السريعة ,data_offer
266,  بسال عن النت ,data_offer
267,  ما هي طريقة اشتراك الانترنت ,data_offer
268,  بسأل من تحويل mtn من 3gالي 4g شريحة داتا ,my_sim
269, عاوزة رقم الشكاوي  ,complaint
270, ياخ انا شبكتي من امبارح م شغالة عديل ,complaint
271, م قادر اتصفح م قادر ارسل رسالة واتس زاتو,complaint
272, الحل شنو حسي,complaint
273, اكلتو قروشي ساي,complaint
274, وانا حسي قاعد ارسل ليك والله شاشة المحادثة زاتو م ظاهرة مكتوب جاري التحميل ,complaint
275, عندي رقمين حق شريحة داتا و الاتنين منشط بيهم والاتنين شبكتهم كعبة من امبارح اليوم كلو السكن جبرة,complaint
276, ردو ي جماعة يااخ!!!! ,complaint
277, ردوووو يااااخ ,complaint
278, قروشي اكلتوووها,complaint
279, شبكتم كعبة من امبارح,complaint
280, مرحباً أريد شراء جهاز وأي فاي أو راوتر  ,data_offer
281, ماممكن تحولوا لي رصيد ,voice_offers
282, عاوز ألغى تسليف الرصيد  ,voice_offers
283,  عاوز اعرف كيف بحولوا الرصيد  ,voice_offers
284,  هل السرعات تختلف  ,data_offer
285,  كم سعر شريحه الداتا  ,data_offer
286,   هل شريحه الداتا بتحول رصيد؟؟ ,voice_offers
287,  كم اسعار باقات الشريحه الداتا  ,data_offer
288,  كم سعر الباقه البلاتينيه اليوميه شامل الضريبه  ,data_offer
289,  وكيف استطيع إلغاء الاشتراك في خدمه الانترنت  ,data_offer
290,  هل السرعه تكون ثابته طول اليوم  ,data_offer
291,  ما الفرق بين الخدمات الذهبيه والبلاتينيه  ,data_offer
292,  كم هي سعه العرض التحميليه ,data_offer
293,  كم هي السعه؟؟؟؟  ,data_offer
294,   كيف اراجع استخدام للميقابايت  ,data_offer
295,   السلام عليكم  داير أشترك في باقة الانترنت اللامحدود لاجهزة ال wifi بس ياليت توضحو لي الحد اليومي أو الشهري للباقه قبل تطبيق سياسة الاستخدام العادل، أنا عارف انه مافي حاجه اسمها لامحدود للآخر عندك حد معين سواء كان في اليوم أو الشهر (حسب الشركه) بعده السرعه بتنخفض تلقائيا لاقل سرعه ، مثلاً  في شركة زين السعودية عندك 5 قيقا في اليوم باعلى سرعه لو زدت على كدا بتنخفض السرعه معاك لاقل من 50  كيلوبايت (سياسة الاستخدام العادل) سؤالي ليكم : الحد الاقصى للباقات البلاتينيه الشهريه و البلاتينيه + و البلاتينيه ++ كم ؟ قبل ماتطبق عليها سياسية الاستخدام العادل؟؟  ,data_offer
296,  بس بي لف ودوران بعد كم ميقابايت السرعه بتنخفض  ,complaint
297,  ما هي أسعار الباقات  ,data_offer
298,  ما هي الحصه اليوميه  ,data_offer
299,  ما الفرق بين الباقات إذن  ,data_offer
300,  البيانات لم تعمل جيدا  ,complaint
301,  اريد ان اسأل عن خدمه الدفع الشهري التي يعطى فيها ٥٠٠ ميقا بايت يوميا ,data_offer
302,  هل يمكن إعطاء احد ميقابايت من خدمتك  ,data_offer
303,  كيف لي أن أعطي اي احد من ميقابايتاتي  ,data_offer
304,  تعرفة الاتصال الدولي  ,voice_offers
305,  معرفة رقم الشريحة  ,my_sim
306, شحن الرصيد  ,voice_offers
307, عاوز اعرف الرصيد في الشريحه كم وهي ماعاوزا تجيب لي رساله عشان اعرف,voice_offers
308,  عروض الواي فاي  ,data_offer
309,  عروض الانترنت  ,data_offer
312,  سلام عليكم  عندي سؤال شريحتي بيانات وفعلت عرض ال 5 قيقا وبنزل كتير وكل ما اشوف النت بلقا ذي ماهو بتجي الرساله انو 5 عايزه اعرف هل فعلن دا النت ولا ف مشكله واتفاجا انو خلص قريب 😂  ,data_offer
313, سلام عليكم ام تي ان عندي مشكله في رقمي مابرسل رسايل نصيه وحاليا شريحتي مقفوله لانو مارسلت رقم الوطني ممكن حل غير اني امشي مركذ واسجل وبتصل ع خدمة العملا ماف اي شخص بخش معاي  ,my_sim
314, دي مشكلتي الرقم الوطني ولا اي رساله مابتمشي من الشريحه دي نهاي  ,my_sim
315,  مرسله مية مره بديني لم يتم ارسال الرساله ,complaint
316, سلام عليكم معليش بس رقم الواتس ماف اي رد انا ماقادره اتصرف في تلفوني لاقادره اتصل لا ارسل 😭  ,my_sim
317, انا منشطه نت ١٠ شريحة بيانات والنت كل يوم قيقا ماشغال معاي اكعب من نت اليوم ممكن اعرف المشكله وين  ,complaint
318, عايزه اعرف طريقه تحويل الرصيد ...وخدمات المكالمات بتتعمل كيف ,voice_offers
319, عندي شريحه ام تي ان بيانات م حافظه رقمه عايزه اعرف الرقم  ,my_sim
320, كيفية اشتراك خدمة النيت في الشريحة العادية,complaint
321, عروض الانترنت  ,data_offer
322, أريد أن أعرف خدمة الإنترنت الشهريه لشريحة البيانات يا عزيزي  ,data_offer
323, هل يوجد خدمه من 6 مساء إلي 6 صباحًا  ,data_offer
324, أريدُ معرفة خدمه الاسبوع لخدمة المكالمات  ,voice_offers
325, أريد معرفة الرقم السري لخدمة الشهر 5 قيقا و كم سعره  ,voice_offers
326, ممكن تفهمني و أسف علي الأزعاج  ,complaint
